#: table_doi: 10.17182/hepdata.82599.v1/t1
#: name: Table 1
#: description: The observed and expected 95% CL upper limits on the production cross section times branching ratio for the narrow-width scalar.
#: data_file: limits_s.yaml
#: keyword reactions: P P --> NARROW X | NARROW --> HIGGS HIGGS | HIGGS --> BQ BQBAR
#: keyword observables: SIG
#: keyword cmenergies: 13000.0
#: keyword phrases: Proton-Proton Scattering | Higgs | Higgs pair Production | Beauty
#: RE,P P --> SCALAR X --> HIGGS HIGGS X --> BQ BQBAR BQ BQBAR X
Mass of scalar [GEV],Observed limit [fb]
260.0,2409.1098654956104
270.0,4063.7588059631607
280.0,5078.138202234091
290.0,2731.078711133816
300.0,1065.5773353534469
400.0,222.13039470554384
500.0,47.060801567923654
600.0,27.25619826934782
700.0,14.112148972801194
800.0,23.115508701814083
900.0,12.556709354242077
1000.0,8.673339125589296
1100.0,11.036265978783764
1200.0,8.096735262811684
1300.0,5.368513120812786
1400.0,3.5475267406040714
1600.0,4.316892444909375
1800.0,2.2322616723677413
2000.0,2.3646958736310997
2250.0,1.5892501110272923
2500.0,1.3023694856694912
2750.0,1.2169425464650772
3000.0,1.588582957997499

#: RE,P P --> SCALAR X --> HIGGS HIGGS X --> BQ BQBAR BQ BQBAR X
Mass of scalar [GEV],Expected limit [fb],1 sigma +,1 sigma -,2 sigma +,2 sigma -
260.0,2303.158930557434,1035.5962420870183,-643.605388776077,2583.40003477697,-1066.9941549746188
270.0,2099.9047875936403,976.7928537254825,-586.8071105648119,2475.5659899603097,-972.8317506179844
280.0,1752.865606305521,836.9022748069488,-489.82887591931467,2127.8513724784016,-812.0574449160414
290.0,1319.4257066674563,581.5478050764243,-368.7064247430501,1416.3776828873952,-611.2559138924456
300.0,1229.2008738921004,540.2808151268514,-343.4935799822308,1326.5613896801756,-569.4570749466822
400.0,210.51154317160191,89.6201222091099,-58.826319706916195,211.76304968201302,-97.52457077046911
500.0,73.8146241204623,31.911009294808935,-20.627100120664224,76.20798744583985,-34.19641234620294
600.0,39.12494580359344,17.079663478444843,-10.933255895054593,41.07257479795414,-18.12557871376646
700.0,23.188832045174426,10.348912828428627,-6.479994526511231,25.299664781751314,-10.742788057140658
800.0,17.468383747341512,7.931165340380531,-4.881445984396899,19.658066845243297,-8.092651839165917
900.0,12.905574348355028,5.9222174325588455,-3.6063934128250885,14.775970691230242,-5.978819878032644
1000.0,10.043346187533524,4.604912527754095,-2.8065591314081706,11.421498517570273,-4.6528233619949315
1100.0,7.4277270852274455,3.4963784183146878,-2.0756384264169627,8.775003006698679,-3.4410744649593834
1200.0,6.271474506323493,3.0014785332778384,-1.7525298555339681,7.551161310644412,-2.905412454406664
1300.0,5.162312184003724,2.53932102576396,-1.4425804038477938,6.4467652958005015,-2.39156614569933
1400.0,4.182734658774562,2.1278370350683655,-1.1688427274778737,5.471153042284472,-1.937753132668984
1600.0,3.370772166263562,1.6598859958334002,-0.9419441714422061,4.197216628931962,-1.5615918430274682
1800.0,2.691779906428576,1.301713689940999,-0.7522034325079305,3.292355098478775,-1.2470322340900197
2000.0,2.2925022773267534,1.1073554640078775,-0.6406274442866258,2.814642856294161,-1.0620572022711527
2250.0,2.126832077178677,1.0337320797401386,-0.5943317969649247,2.6536905733867604,-0.9853064696724743
2500.0,2.1308774339459857,1.033618970732939,-0.5954622501787339,2.6325217746675413,-0.9871805791697552
2750.0,2.0759862063343997,1.001610264089548,-0.5801231915412124,2.5304226908797096,-0.9617508885635717
3000.0,2.073251675039407,1.0039273001534963,-0.5793590414628642,2.5460362592269266,-0.9604840507133299

