#: table_doi: 10.17182/hepdata.82599.v1/t2
#: name: Table 2
#: description: The observed and expected 95% CL upper limits on the production cross section times branching ratio for the bulk Randall-Sundrum model with $\frac{k}{\overline{M}_{\mathrm{Pl}}} = 1$.
#: data_file: limits_g10.yaml
#: keyword reactions: P P --> GRAVITON X | GRAVITON --> HIGGS HIGGS | HIGGS --> BQ BQBAR
#: keyword observables: SIG
#: keyword cmenergies: 13000.0
#: keyword phrases: Proton-Proton Scattering | Higgs | Higgs pair Production | Beauty
#: RE,P P --> GRAVITON X --> HIGGS HIGGS X --> BQ BQBAR BQ BQBAR X
Mass of graviton [GEV],Observed limit [fb]
260.0,1277.6456893743436
270.0,2076.412847831248
280.0,2395.4048274513693
290.0,1493.7297927560637
300.0,872.419922592888
400.0,140.94229688231022
500.0,30.622378832040862
600.0,17.110161765122246
700.0,10.338062989774025
800.0,16.99313807498152
900.0,10.253663531186959
1000.0,7.035715760584426
1100.0,8.48117338049447
1200.0,6.390202232170845
1300.0,4.1252530199902315
1400.0,3.2141975021114493
1600.0,3.1531245587607444
1800.0,2.1294994895576584
2000.0,1.800975261146517
2250.0,1.2813151182654368
2500.0,1.0431331677609315
2750.0,1.0271487311704641
3000.0,1.2644452190217192

#: RE,P P --> GRAVITON X --> HIGGS HIGGS X --> BQ BQBAR BQ BQBAR X
Mass of graviton [GEV],Expected limit [fb],1 sigma +,1 sigma -,2 sigma +,2 sigma -
260.0,796.824681500269,381.72098975547124,-222.66837608086007,997.1326985789256,-369.1483320669163
270.0,1028.5265511505536,489.46772421168794,-287.4162186712638,1265.1959000056963,-476.4898347888794
280.0,1046.5315565329215,513.7291111051006,-292.4476206884185,1358.9203810738495,-484.8310895969545
290.0,891.430244643047,434.00967631700723,-249.1053924061515,1135.7471358710704,-412.9766504526539
300.0,833.4713748481349,392.08391099876053,-232.90909764226888,1014.3302919666312,-386.12580030956866
400.0,133.2494999434242,58.776951074423266,-37.23585683882823,145.15995947240663,-61.7310580292926
500.0,51.28497851932309,21.99942829290316,-14.33131170427432,52.595098731775664,-23.759008374151815
600.0,27.668395367287157,12.0835671497256,-7.7317844291636,29.075749036802303,-12.818054257018643
700.0,18.21493168468055,8.162054793221518,-5.090064794447832,20.07690594973611,-8.43850825184358
800.0,14.035556188939939,6.317066019569545,-3.9221607670317464,15.660786170099314,-6.502311332805914
900.0,10.330518035230659,4.673622587925241,-2.8868077613357297,11.59870635179101,-4.785862675479018
1000.0,7.366026966764859,3.3738845678379503,-2.0583966598138073,8.430943613267413,-3.4124903907613913
1100.0,5.937472516201773,2.7945311218223656,-1.65919479391395,7.054300369723495,-2.7506779432613513
1200.0,5.121346231316415,2.4850202813808338,-1.4311326884704108,6.311099755876952,-2.372587675959186
1300.0,4.23305821511938,2.13724769108332,-1.1829053749209923,5.474334241355285,-1.961066738936034
1400.0,3.510857156568673,1.80240097120635,-0.9810901693370155,4.65006633248208,-1.6264896075161097
1600.0,2.8218663657354375,1.4066927392643471,-0.7885553946351953,3.573382314218902,-1.3072979369384854
1800.0,2.335460477687523,1.1436063846463589,-0.6526318825724466,2.8926097465859546,-1.081958628996436
2000.0,1.9265329734870187,0.9381547042582181,-0.5383592886014794,2.3773864219559107,-0.8925130588269932
2250.0,1.7501818802187805,0.846116601422874,-0.48907892308344714,2.154093996487965,-0.8108141438089782
2500.0,1.8190885099022371,0.8833442044648421,-0.5083345105282686,2.2429354756863824,-0.8427368088651209
2750.0,1.8506371253192035,0.8826473161256383,-0.5171506016027432,2.1923595327502587,-0.8573524690355191
3000.0,1.8804708261040939,0.8860663456024813,-0.5254874689971447,2.2465010645297823,-0.8711736534689509

