#: table_doi: 10.17182/hepdata.82599.v1/t3
#: name: Table 3
#: description: The observed and expected 95% CL upper limits on the production cross section times branching ratio for the bulk Randall-Sundrum model with $\frac{k}{\overline{M}_{\mathrm{Pl}}} = 2$.
#: data_file: limits_g20.yaml
#: keyword reactions: P P --> GRAVITON X | GRAVITON --> HIGGS HIGGS | HIGGS --> BQ BQBAR
#: keyword observables: SIG
#: keyword cmenergies: 13000.0
#: keyword phrases: Proton-Proton Scattering | Higgs | Higgs pair Production | Beauty
#: RE,P P --> GRAVITON X --> HIGGS HIGGS X --> BQ BQBAR BQ BQBAR X
Mass of graviton [GEV],Observed limit [fb]
260.0,44.760115067684744
280.0,60.52742489382626
300.0,82.648202138979
400.0,96.62413998462156
500.0,38.818882293866785
600.0,22.95033209316143
700.0,17.96507188124761
800.0,18.490435545534492
900.0,15.150110113367884
1000.0,12.007882858420206
1100.0,11.299284495724084
1200.0,8.466828071942896
1300.0,6.285786315045508
1400.0,4.7807712931621555
1600.0,3.6875700449908893
1800.0,2.7380234370141534
2000.0,2.1545685483764982
2250.0,1.7149459048422313
2500.0,1.5014808082224385
3000.0,1.831164090913891

#: RE,P P --> GRAVITON X --> HIGGS HIGGS X --> BQ BQBAR BQ BQBAR X
Mass of graviton [GEV],Expected limit [fb],1 sigma +,1 sigma -,2 sigma +,2 sigma -
260.0,91.23316361087453,40.006281595266756,-25.4946173952645,97.18704571287091,-42.26597262616424
280.0,112.67600167007996,49.297368628727526,-31.486703283239763,119.33649462022677,-52.19988668293409
300.0,143.43063245345814,62.824011717083835,-40.080919617763456,152.0663924745524,-66.44771424224402
400.0,118.88683841325485,51.56524589561516,-33.222288241655264,124.22617972631247,-55.07720722497124
500.0,62.35002648672357,26.71769856149374,-17.423379908686556,63.50810230723713,-28.88515983034881
600.0,37.7729628318441,16.43296933421852,-10.55545151750746,39.775522487286125,-17.499239858317768
700.0,27.498342767160203,12.141756949267133,-7.684264143713474,29.63984958398926,-12.739273271492046
800.0,19.436035699436058,8.702144679071324,-5.4312957506469886,21.422184030694883,-9.004214260696742
900.0,14.413742166974895,6.52317226835558,-4.0278428066832355,16.145636602206054,-6.6775151464476385
1000.0,10.739311094870072,4.890510129001603,-3.001042785496443,12.181800533119159,-4.975245960949413
1100.0,8.63307097217973,4.100204488018706,-2.4124652995772253,10.377247973300545,-3.9994792129118855
1200.0,7.159801000954561,3.5105071836392767,-2.000767921675041,8.993661824973175,-3.316951217496294
1300.0,5.959900829455566,2.9697802802168107,-1.6654622655503104,7.677911000388909,-2.7610684025693173
1400.0,4.944209348475407,2.548382816619453,-1.3816327382781441,6.655096240997822,-2.290524724890484
1600.0,3.9854708679435307,2.0003551455847717,-1.1137184209852595,5.080290743291116,-1.8463659040186782
1800.0,3.141387430829011,1.5346378856523617,-0.8778438395589343,3.8638471674360555,-1.4553238088498055
2000.0,2.7522419144525734,1.3410972938695012,-0.7690992158011176,3.3965562891170236,-1.2750427236414374
2250.0,2.5960283726452493,1.268368710584431,-0.725446180844187,3.249262064019585,-1.2026730170506916
2500.0,2.653332794101296,1.2817942594680511,-0.7414595935359809,3.243195357195542,-1.2292206781506598
3000.0,2.7812993466629083,1.2980900251587415,-0.7772191591130801,3.203210472423064,-1.2885042828571949

