#: table_doi: 10.17182/hepdata.111124.v2/t10
#: name: Table 10
#: description: Comparison of the background model (stacked histograms) with data (dots) in the $2b$ validation region. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background uncertainty (gray band) is computed by adding all individual components in quadrature and is not allowed to extend below zero.
#: data_file: data10_boosted_vr_2b_mhh.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 2b Validation Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data [Events / 100 GeV],error +,error -
850.0,800.0,900.0,3201.0,56.57738063926254,-56.57738063926254
950.0,900.0,1000.0,5254.0,72.48448109768049,-72.48448109768049
1050.0,1000.0,1100.0,4039.0,63.55312738174259,-63.55312738174259
1150.0,1100.0,1200.0,2420.0,49.193495504995376,-49.193495504995376
1250.0,1200.0,1300.0,1297.0,36.013886210738214,-36.013886210738214
1350.0,1300.0,1400.0,784.0,28.0,-28.0
1450.0,1400.0,1500.0,464.0,21.540659228538015,-21.540659228538015
1550.0,1500.0,1600.0,269.0,16.401219466856727,-16.401219466856727
1650.0,1600.0,1700.0,169.0,13.0,-13.0
1750.0,1700.0,1800.0,100.0,10.0,-10.0
1850.0,1800.0,1900.0,81.0,9.0,-9.0
1950.0,1900.0,2000.0,42.0,6.48074069840786,-6.48074069840786
2050.0,2000.0,2100.0,29.0,5.385164807134504,-5.385164807134504
2150.0,2100.0,2200.0,24.0,4.898979485566356,-4.898979485566356
2250.0,2200.0,2300.0,18.0,4.242640687119285,-4.242640687119285
2350.0,2300.0,2400.0,7.0,2.6457513110645907,-2.6457513110645907
2450.0,2400.0,2500.0,6.0,2.449489742783178,-2.449489742783178
2550.0,2500.0,2600.0,4.0,2.0,-2.0
2650.0,2600.0,2700.0,7.0,2.6457513110645907,-2.6457513110645907
2750.0,2700.0,2800.0,5.0,2.23606797749979,-2.23606797749979
2850.0,2800.0,2900.0,1.0,1.0,-1.0
2950.0,2900.0,3000.0,1.0,1.0,-1.0
3050.0,3000.0,3100.0,-,0,0
3150.0,3100.0,3200.0,-,0,0
3250.0,3200.0,3300.0,-,0,0
3350.0,3300.0,3400.0,-,0,0
3450.0,3400.0,3500.0,3.0,1.7320508075688772,-1.7320508075688772
3550.0,3500.0,3600.0,1.0,1.0,-1.0
3650.0,3600.0,3700.0,2.0,1.4142135623730951,-1.4142135623730951
3750.0,3700.0,3800.0,1.0,1.0,-1.0
3850.0,3800.0,3900.0,-,0,0
3950.0,3900.0,4000.0,-,0,0
4050.0,4000.0,4100.0,1.0,1.0,-1.0
4150.0,4100.0,4200.0,-,0,0
4250.0,4200.0,4300.0,-,0,0
4350.0,4300.0,4400.0,-,0,0
4450.0,4400.0,4500.0,-,0,0
4550.0,4500.0,4600.0,1.0,1.0,-1.0
4650.0,4600.0,4700.0,-,0,0
4750.0,4700.0,4800.0,-,0,0
4850.0,4800.0,4900.0,-,0,0
4950.0,4900.0,5000.0,-,0,0
5050.0,5000.0,5100.0,-,0,0

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,$t\bar{t)$ [Events / 100 GeV]
850.0,800.0,900.0,988.4959871187858
950.0,900.0,1000.0,1496.3006074502543
1050.0,1000.0,1100.0,1122.3156672367836
1150.0,1100.0,1200.0,630.6002884388269
1250.0,1200.0,1300.0,332.89678126016446
1350.0,1300.0,1400.0,182.89574708250706
1450.0,1400.0,1500.0,103.07544469479082
1550.0,1500.0,1600.0,59.43380478616956
1650.0,1600.0,1700.0,34.98608051597075
1750.0,1700.0,1800.0,20.986669096994156
1850.0,1800.0,1900.0,12.808468901667627
1950.0,1900.0,2000.0,7.942710649081055
2050.0,2000.0,2100.0,4.9985782739747
2150.0,2100.0,2200.0,3.1891990124236416
2250.0,2200.0,2300.0,2.060997672829354
2350.0,2300.0,2400.0,1.3479738300508302
2450.0,2400.0,2500.0,0.8916164432612509
2550.0,2500.0,2600.0,0.5960514050825149
2650.0,2600.0,2700.0,0.4024780130158407
2750.0,2700.0,2800.0,0.27436003544334414
2850.0,2800.0,2900.0,0.18871562412311144
2950.0,2900.0,3000.0,0.13092099642380414
3050.0,3000.0,3100.0,0.09156872636768083
3150.0,3100.0,3200.0,0.06454423856193911
3250.0,3200.0,3300.0,0.04583409590244877
3350.0,3300.0,3400.0,0.032779343228423435
3450.0,3400.0,3500.0,0.02360269630039001
3550.0,3500.0,3600.0,0.01710610147141289
3650.0,3600.0,3700.0,0.012475407872017225
3750.0,3700.0,3800.0,0.00915305674010321
3850.0,3800.0,3900.0,0.006754374563160441
3950.0,3900.0,4000.0,0.005012074028659109
4050.0,4000.0,4100.0,0.0037391617710014645
4150.0,4100.0,4200.0,0.0028039573694794455
4250.0,4200.0,4300.0,0.0021131448534621924
4350.0,4300.0,4400.0,0.0016001923537181913
4450.0,4400.0,4500.0,0.0012173856671504103
4550.0,4500.0,4600.0,0.0009303119507295342
4650.0,4600.0,4700.0,0.0007140158279500712
4750.0,4700.0,4800.0,0.0005503045307164569
4850.0,4800.0,4900.0,0.0004258474752973781
4950.0,4900.0,5000.0,0.0003308284517672117
5050.0,5000.0,5100.0,0.00025798447808021176

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Multijet [Events / 100 GeV]
850.0,800.0,900.0,2143.3805729361707
950.0,900.0,1000.0,3750.2998203472844
1050.0,1000.0,1100.0,3032.9843236227334
1150.0,1100.0,1200.0,1765.4626677047893
1250.0,1200.0,1300.0,954.1584574573633
1350.0,1300.0,1400.0,541.8484628446706
1450.0,1400.0,1500.0,317.5342173769788
1550.0,1500.0,1600.0,191.46407965711873
1650.0,1600.0,1700.0,118.49644915446486
1750.0,1700.0,1800.0,75.11816901885653
1850.0,1800.0,1900.0,48.68964779246394
1950.0,1900.0,2000.0,32.21926557287212
2050.0,2000.0,2100.0,21.737187918091113
2150.0,2100.0,2200.0,14.934557113643441
2250.0,2200.0,2300.0,10.438418526703204
2350.0,2300.0,2400.0,7.415370118177567
2450.0,2400.0,2500.0,5.349731172082567
2550.0,2500.0,2600.0,3.9166437744511367
2650.0,2600.0,2700.0,2.9079901664313557
2750.0,2700.0,2800.0,2.1883154839677235
2850.0,2800.0,2900.0,1.6681329244779575
2950.0,2900.0,3000.0,1.2874843708684345
3050.0,3000.0,3100.0,1.0056562830725004
3150.0,3100.0,3200.0,0.7946500595647275
3250.0,3200.0,3300.0,0.6349776218086781
3350.0,3300.0,3400.0,0.512917949677004
3450.0,3400.0,3500.0,0.4187041552830485
3550.0,3500.0,3600.0,0.3453109848115101
3650.0,3600.0,3700.0,0.2876345499843402
3750.0,3700.0,3800.0,0.2419313098554617
3850.0,3800.0,3900.0,0.20543033868036728
3950.0,3900.0,4000.0,0.17606266681480534
4050.0,4000.0,4100.0,0.15227053105194505
4150.0,4100.0,4200.0,0.1328717058595937
4250.0,4200.0,4300.0,0.11696216057224909
4350.0,4300.0,4400.0,0.10384562662298287
4450.0,4400.0,4500.0,0.09298222459209356
4550.0,4500.0,4600.0,0.08395070488446088
4650.0,4600.0,4700.0,0.07642049151859827
