#: table_doi: 10.17182/hepdata.111124.v2/t11
#: name: Table 11
#: description: Comparison of the background model (stacked histograms) with data (dots) in the $3b$ validation region. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background uncertainty (gray band) is computed by adding all individual components in quadrature and is not allowed to extend below zero.
#: data_file: data11_boosted_vr_3b_mhh.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 3b Validation Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data [Events / 100 GeV],error +,error -
850.0,800.0,900.0,566.0,23.790754506740637,-23.790754506740637
950.0,900.0,1000.0,931.0,30.512292604784715,-30.512292604784715
1050.0,1000.0,1100.0,785.0,28.0178514522438,-28.0178514522438
1150.0,1100.0,1200.0,454.0,21.307275752662516,-21.307275752662516
1250.0,1200.0,1300.0,255.0,15.968719422671311,-15.968719422671311
1350.0,1300.0,1400.0,125.0,11.180339887498949,-11.180339887498949
1450.0,1400.0,1500.0,82.0,9.055385138137417,-9.055385138137417
1550.0,1500.0,1600.0,50.0,7.0710678118654755,-7.0710678118654755
1650.0,1600.0,1700.0,37.0,6.082762530298219,-6.082762530298219
1750.0,1700.0,1800.0,11.0,3.3166247903554,-3.3166247903554
1850.0,1800.0,1900.0,9.0,3.0,-3.0
1950.0,1900.0,2000.0,7.0,2.6457513110645907,-2.6457513110645907
2050.0,2000.0,2100.0,4.0,2.0,-2.0
2150.0,2100.0,2200.0,3.0,1.7320508075688772,-1.7320508075688772
2250.0,2200.0,2300.0,2.0,1.4142135623730951,-1.4142135623730951
2350.0,2300.0,2400.0,-,0,0
2450.0,2400.0,2500.0,1.0,1.0,-1.0
2550.0,2500.0,2600.0,-,0,0
2650.0,2600.0,2700.0,1.0,1.0,-1.0
2750.0,2700.0,2800.0,-,0,0
2850.0,2800.0,2900.0,1.0,1.0,-1.0
2950.0,2900.0,3000.0,-,0,0
3050.0,3000.0,3100.0,-,0,0
3150.0,3100.0,3200.0,-,0,0
3250.0,3200.0,3300.0,1.0,1.0,-1.0
3350.0,3300.0,3400.0,-,0,0
3450.0,3400.0,3500.0,-,0,0
3550.0,3500.0,3600.0,-,0,0
3650.0,3600.0,3700.0,-,0,0
3750.0,3700.0,3800.0,-,0,0
3850.0,3800.0,3900.0,-,0,0
3950.0,3900.0,4000.0,-,0,0
4050.0,4000.0,4100.0,-,0,0
4150.0,4100.0,4200.0,-,0,0
4250.0,4200.0,4300.0,-,0,0
4350.0,4300.0,4400.0,-,0,0
4450.0,4400.0,4500.0,1.0,1.0,-1.0
4550.0,4500.0,4600.0,-,0,0
4650.0,4600.0,4700.0,-,0,0
4750.0,4700.0,4800.0,-,0,0
4850.0,4800.0,4900.0,-,0,0
4950.0,4900.0,5000.0,-,0,0
5050.0,5000.0,5100.0,-,0,0

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,$t\bar{t)$ [Events / 100 GeV]
850.0,800.0,900.0,82.9391736367958
950.0,900.0,1000.0,136.88725931025658
1050.0,1000.0,1100.0,102.98861269554445
1150.0,1100.0,1200.0,57.81426516808806
1250.0,1200.0,1300.0,30.867514750292013
1350.0,1300.0,1400.0,16.75796715015492
1450.0,1400.0,1500.0,9.369284512445
1550.0,1500.0,1600.0,5.379277983765525
1650.0,1600.0,1700.0,3.164050769894909
1750.0,1700.0,1800.0,1.9027971920671183
1850.0,1800.0,1900.0,1.16795133443333
1950.0,1900.0,2000.0,0.7306263740523313
2050.0,2000.0,2100.0,0.4652029948447559
2150.0,2100.0,2200.0,0.30114321988778153
2250.0,2200.0,2300.0,0.1979936892052444
2350.0,2300.0,2400.0,0.13209606726195228
2450.0,2400.0,2500.0,0.08935985422910027
2550.0,2500.0,2600.0,0.061248861386771
2650.0,2600.0,2700.0,0.042508519171452985
2750.0,2700.0,2800.0,0.029855345679355914
2850.0,2800.0,2900.0,0.021208269937538236
2950.0,2900.0,3000.0,0.015230511103883503
3050.0,3000.0,3100.0,0.011052404356943909
3150.0,3100.0,3200.0,0.00810130358937305
3250.0,3200.0,3300.0,0.005995781765685015
3350.0,3300.0,3400.0,0.004478979022163494
3450.0,3400.0,3500.0,0.003376100794919334
3550.0,3500.0,3600.0,0.0025670008602327542
3650.0,3600.0,3700.0,0.0019682993789732943
3750.0,3700.0,3800.0,0.0015215964751649788
3850.0,3800.0,3900.0,0.0011856248876991632
3950.0,3900.0,4000.0,0.0009309745750706533
4050.0,4000.0,4100.0,0.0007365133324181522
4150.0,4100.0,4200.0,0.0005869364649755847
4250.0,4200.0,4300.0,0.00047107496703953757
4350.0,4300.0,4400.0,0.0003807177505189601
4450.0,4400.0,4500.0,0.0003097852000908088
4550.0,4500.0,4600.0,0.0002537447991619331
4650.0,4600.0,4700.0,0.0002091948578421497
4750.0,4700.0,4800.0,0.0001735658616174727
4850.0,4800.0,4900.0,0.0001449047216495521
4950.0,4900.0,5000.0,0.00012171786947409267
5050.0,5000.0,5100.0,0.00010285640597182363

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Multijet [Events / 100 GeV]
850.0,800.0,900.0,489.0275055728735
950.0,900.0,1000.0,869.2788666247013
1050.0,1000.0,1100.0,693.0046356353964
1150.0,1100.0,1200.0,414.79373504882585
1250.0,1200.0,1300.0,219.2562821697147
1350.0,1300.0,1400.0,119.16632140083547
1450.0,1400.0,1500.0,66.91590358044033
1550.0,1500.0,1600.0,38.70485405277612
1650.0,1600.0,1700.0,23.00180737471607
1750.0,1700.0,1800.0,14.01480330411362
1850.0,1800.0,1900.0,8.738612151970422
1950.0,1900.0,2000.0,5.567220826754705
2050.0,2000.0,2100.0,3.6188761324159575
2150.0,2100.0,2200.0,2.3972895158139633
2250.0,2200.0,2300.0,1.6166367679503266
2350.0,2300.0,2400.0,1.1087541778613876
2450.0,2400.0,2500.0,0.7727141367604341
2550.0,2500.0,2600.0,0.5468033204701935
2650.0,2600.0,2700.0,0.39262044697650156
2750.0,2700.0,2800.0,0.28587327193961537
2850.0,2800.0,2900.0,0.21095386227800067
2950.0,2900.0,3000.0,0.15768528198587015
3050.0,3000.0,3100.0,0.11933849282010106
3150.0,3100.0,3200.0,0.0914047897923546
3250.0,3200.0,3300.0,0.07082476979318728
3350.0,3300.0,3400.0,0.055497305078120805
3450.0,3400.0,3500.0,0.04396269793720703
3550.0,3500.0,3600.0,0.03519565356965938
3650.0,3600.0,3700.0,0.028468383096198705
3750.0,3700.0,3800.0,0.02325904161305987
3850.0,3800.0,3900.0,0.019189816167760106
3950.0,3900.0,4000.0,0.015984622576488368
4050.0,4000.0,4100.0,0.013439909548490867
4150.0,4100.0,4200.0,0.011404314304139412
4250.0,4200.0,4300.0,0.009764354655002453
4350.0,4300.0,4400.0,0.008434276784413927
4450.0,4400.0,4500.0,0.007348790022152575
4550.0,4500.0,4600.0,0.006457824833575337
4650.0,4600.0,4700.0,0.005722720680367328
4750.0,4700.0,4800.0,0.005113432675782044
4850.0,4800.0,4900.0,0.004606469879852985
4950.0,4900.0,5000.0,0.0041833630508256005
5050.0,5000.0,5100.0,0.0038295184098835517

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Total Background [Events / 100 GeV],error +,error -
850.0,800.0,900.0,571.9666792096693,29.170515380191503,-35.9475766255495
950.0,900.0,1000.0,1006.1661259349579,42.146657390752345,-49.34293870612082
1050.0,1000.0,1100.0,795.9932483309409,35.03442162293416,-41.46261736714754
1150.0,1100.0,1200.0,472.6080002169139,25.9473141124073,-31.241753810072904
1250.0,1200.0,1300.0,250.1237969200067,12.754364079124102,-15.481566818636475
1350.0,1300.0,1400.0,135.92428855099038,6.708195782827783,-8.663147976365059
1450.0,1400.0,1500.0,76.28518809288533,3.9545175376987793,-5.239794285527267
1550.0,1500.0,1600.0,44.08413203654165,2.4717135751372186,-3.2827389268771086
1650.0,1600.0,1700.0,26.16585814461098,1.5912879512754519,-2.107696205452528
1750.0,1700.0,1800.0,15.91760049618074,1.0465250360321072,-1.382631012626248
1850.0,1800.0,1900.0,9.906563486403751,0.704185458571179,-0.9249517399679871
1950.0,1900.0,2000.0,6.297847200807037,0.48755182381403706,-0.6308613824813345
2050.0,2000.0,2100.0,4.084079127260713,0.34960198726625036,-0.43988568812711226
2150.0,2100.0,2200.0,2.698432735701745,0.260870065867608,-0.31554986178432853
2250.0,2200.0,2300.0,1.814630457155571,0.20283994554228932,-0.23488195315937527
2350.0,2300.0,2400.0,1.2408502451233399,0.16398255576039347,-0.18276179596350933
2450.0,2400.0,2500.0,0.8620739909895344,0.1372274547930411,-0.14894946618029734
2550.0,2500.0,2600.0,0.6080521818569645,0.11828957608235927,-0.12655797955260314
2650.0,2600.0,2700.0,0.43512896614795454,0.1045684129889012,-0.11115686266857022
2750.0,2700.0,2800.0,0.3157286176189713,0.09445387312806201,-0.10006347866010423
2850.0,2800.0,2900.0,0.2321621322155389,0.08691166410367446,-0.09173181727488541
2950.0,2900.0,3000.0,0.17291579308975366,0.08124676575805337,-0.08528689086308552
3050.0,3000.0,3100.0,0.13039089717704497,0.07697200236895982,-0.08022054281271708
3150.0,3100.0,3200.0,0.09950609338172765,0.07373488951816677,-0.07621558470358672
3250.0,3200.0,3300.0,0.0768205515588723,0.07127541432803262,-0.07305311251568891
3350.0,3300.0,3400.0,0.0599762841002843,0.06939996940615607,-0.07056726636994398
3450.0,3400.0,3500.0,0.04733879873212636,0.06796394149015332,-0.06862459047109784
3550.0,3500.0,3600.0,0.037762654429892135,0.06685930360547394,-0.06711498872374505
3650.0,3600.0,3700.0,0.030436682475172,0.06600542618233957,-0.06594751061159793
3750.0,3700.0,3800.0,0.02478063808822485,0.0653421654095202,-0.06504779989354634
3850.0,3800.0,3900.0,0.02037544105545927,0.06482465571945442,-0.06435594633583833
3950.0,3900.0,4000.0,0.01691559715155902,0.06441940430860518,-0.0638243846964949
4050.0,4000.0,4100.0,0.014176422880909019,0.06410138100236808,-0.06341584150598324
4150.0,4100.0,4200.0,0.011991250769114996,0.06385186332902962,-0.06310142184558323
4250.0,4200.0,4300.0,0.01023542962204199,0.06365684962699406,-0.06285891459543798
4350.0,4300.0,4400.0,0.008814994534932888,0.06350589657323044,-0.06267135386677421
4450.0,4400.0,4500.0,0.007658575222243383,0.06339127293823252,-0.06252583819595746
4550.0,4500.0,4600.0,0.00671156963273727,0.06330734954539546,-0.062412585996217414
4650.0,4600.0,4700.0,0.005931915538209478,0.06325016743475761,-0.06232419469552969
4750.0,4700.0,4800.0,0.005286998537399517,0.06321714333116489,-0.06225506825374731
4850.0,4800.0,4900.0,0.004751374601502537,0.06320688492117862,-0.06220097982534535
4950.0,4900.0,5000.0,0.004305080920299693,0.06321909929704432,-0.062158740664664154
5050.0,5000.0,5100.0,0.003932374815855375,0.06325458728689227,-0.06212595137725878

