#: table_doi: 10.17182/hepdata.111124.v2/t13
#: name: Table 13
#: description: The $m(HH)$ distributions in the boosted $2b$ signal regions (dots), after the fit under the background-only hypothesis. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background model (stacked histogram) is shown with its total post-fit uncertainty (gray band). The uncertainty bands are defined using an ensemble of curves constructed by sampling a multivariate Gaussian probability density function built from the covariance matrix of the fit. Representative spin-0 signal hypotheses (dashed and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. No significant excess of data relative to the SM background is observed.
#: data_file: data13_boosted_sr_2b_mhh_spin0.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: Data,,,Events / 100 GeV
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 2b Signal Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data,error +,error -
850.0,800.0,900.0,1597.0,39.96248240537617,-39.96248240537617
950.0,900.0,1000.0,2771.0,52.640288753007425,-52.640288753007425
1050.0,1000.0,1100.0,2200.0,46.9041575982343,-46.9041575982343
1150.0,1100.0,1200.0,1182.0,34.38022687534217,-34.38022687534217
1250.0,1200.0,1300.0,657.0,25.632011235952593,-25.632011235952593
1350.0,1300.0,1400.0,378.0,19.44222209522358,-19.44222209522358
1450.0,1400.0,1500.0,230.0,15.165750888103101,-15.165750888103101
1550.0,1500.0,1600.0,132.0,11.489125293076057,-11.489125293076057
1650.0,1600.0,1700.0,80.0,8.94427190999916,-8.94427190999916
1750.0,1700.0,1800.0,56.0,7.483314773547883,-7.483314773547883
1850.0,1800.0,1900.0,34.0,5.830951894845301,-5.830951894845301
1950.0,1900.0,2000.0,22.0,4.69041575982343,-4.69041575982343
2050.0,2000.0,2100.0,17.0,4.123105625617661,-4.123105625617661
2150.0,2100.0,2200.0,4.0,2.0,-2.0
2250.0,2200.0,2300.0,6.0,2.449489742783178,-2.449489742783178
2350.0,2300.0,2400.0,4.0,2.0,-2.0
2450.0,2400.0,2500.0,5.0,2.23606797749979,-2.23606797749979
2550.0,2500.0,2600.0,3.0,1.7320508075688772,-1.7320508075688772
2650.0,2600.0,2700.0,2.0,1.4142135623730951,-1.4142135623730951
2750.0,2700.0,2800.0,-,0,0
2850.0,2800.0,2900.0,1.0,1.0,-1.0
2950.0,2900.0,3000.0,-,0,0
3050.0,3000.0,3100.0,3.0,1.7320508075688772,-1.7320508075688772
3150.0,3100.0,3200.0,1.0,1.0,-1.0
3250.0,3200.0,3300.0,-,0,0
3350.0,3300.0,3400.0,-,0,0
3450.0,3400.0,3500.0,-,0,0
3550.0,3500.0,3600.0,-,0,0
3650.0,3600.0,3700.0,-,0,0
3750.0,3700.0,3800.0,-,0,0
3850.0,3800.0,3900.0,1.0,1.0,-1.0
3950.0,3900.0,4000.0,1.0,1.0,-1.0
4050.0,4000.0,4100.0,1.0,1.0,-1.0
4150.0,4100.0,4200.0,-,0,0
4250.0,4200.0,4300.0,-,0,0
4350.0,4300.0,4400.0,-,0,0
4450.0,4400.0,4500.0,-,0,0
4550.0,4500.0,4600.0,-,0,0
4650.0,4600.0,4700.0,-,0,0
4750.0,4700.0,4800.0,-,0,0
4850.0,4800.0,4900.0,-,0,0
4950.0,4900.0,5000.0,-,0,0
5050.0,5000.0,5100.0,-,0,0
5150.0,5100.0,5200.0,-,0,0

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,$t\bar{t}$ [Events / 100 GeV]
850.0,800.0,900.0,558.5671997070312
950.0,900.0,1000.0,873.5081176757812
1050.0,1000.0,1100.0,639.2850952148438
1150.0,1100.0,1200.0,346.98663330078125
1250.0,1200.0,1300.0,180.56820678710938
1350.0,1300.0,1400.0,100.75962829589844
1450.0,1400.0,1500.0,57.84215545654297
1550.0,1500.0,1600.0,34.0400276184082
1650.0,1600.0,1700.0,20.48695182800293
1750.0,1700.0,1800.0,12.583210945129395
1850.0,1800.0,1900.0,7.872782230377197
1950.0,1900.0,2000.0,5.009340763092041
2050.0,2000.0,2100.0,3.2368829250335693
2150.0,2100.0,2200.0,2.121396064758301
2250.0,2200.0,2300.0,1.4085967540740967
2350.0,2300.0,2400.0,0.9466809034347534
2450.0,2400.0,2500.0,0.6434387564659119
2550.0,2500.0,2600.0,0.4419563114643097
2650.0,2600.0,2700.0,0.3065794110298157
2750.0,2700.0,2800.0,0.2146630883216858
2850.0,2800.0,2900.0,0.151639923453331
2950.0,2900.0,3000.0,0.10802654922008514
3050.0,3000.0,3100.0,0.07758031040430069
3150.0,3100.0,3200.0,0.05614892393350601
3250.0,3200.0,3300.0,0.04094341769814491
3350.0,3300.0,3400.0,0.03007325530052185
3450.0,3400.0,3500.0,0.022245733067393303
3550.0,3500.0,3600.0,0.016569655388593674
3650.0,3600.0,3700.0,0.012425806373357773
3750.0,3700.0,3800.0,0.009380735456943512
3850.0,3800.0,3900.0,0.007128860801458359
3950.0,3900.0,4000.0,0.005453270394355059
4050.0,4000.0,4100.0,0.0041989837773144245
4150.0,4100.0,4200.0,0.0032545626163482666
4250.0,4200.0,4300.0,0.002539389068260789
4350.0,4300.0,4400.0,0.001994795398786664
4450.0,4400.0,4500.0,0.0015778403030708432
4550.0,4500.0,4600.0,0.001256918883882463
4650.0,4600.0,4700.0,0.0010086426045745611
4750.0,4700.0,4800.0,0.0008156117401085794
4850.0,4800.0,4900.0,0.0006648148410022259
4950.0,4900.0,5000.0,0.0005464725545607507
5050.0,5000.0,5100.0,0.0004531989397946745
5150.0,5100.0,5200.0,0.00037938824971206486

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Multijet [Events / 100 GeV]
850.0,800.0,900.0,1044.784423828125
950.0,900.0,1000.0,1879.65576171875
1050.0,1000.0,1100.0,1522.206298828125
1150.0,1100.0,1200.0,887.97314453125
1250.0,1200.0,1300.0,481.37811279296875
1350.0,1300.0,1400.0,279.88311767578125
1450.0,1400.0,1500.0,165.15087890625
1550.0,1500.0,1600.0,98.86063385009766
1650.0,1600.0,1700.0,60.764862060546875
1750.0,1700.0,1800.0,38.28449630737305
1850.0,1800.0,1900.0,24.701868057250977
1950.0,1900.0,2000.0,16.297788619995117
2050.0,2000.0,2100.0,10.97710132598877
2150.0,2100.0,2200.0,7.5389814376831055
2250.0,2200.0,2300.0,5.201109409332275
2350.0,2300.0,2400.0,3.5991251468658447
2450.0,2400.0,2500.0,2.568446397781372
2550.0,2500.0,2600.0,1.890021800994873
2650.0,2600.0,2700.0,1.4124369621276855
2750.0,2700.0,2800.0,1.0713191032409668
2850.0,2800.0,2900.0,0.824287474155426
2950.0,2900.0,3000.0,0.6430268287658691
3050.0,3000.0,3100.0,0.5083535313606262
3150.0,3100.0,3200.0,0.4070976972579956
3250.0,3200.0,3300.0,0.330102801322937
3350.0,3300.0,3400.0,0.27092573046684265
3450.0,3400.0,3500.0,0.22498048841953278
3550.0,3500.0,3600.0,0.18896692991256714
3650.0,3600.0,3700.0,0.16048528254032135
3750.0,3700.0,3800.0,0.13777312636375427
3850.0,3800.0,3900.0,0.11952373385429382
3950.0,3900.0,4000.0,0.10475949198007584
4050.0,4000.0,4100.0,0.09274286031723022
