#: table_doi: 10.17182/hepdata.111124.v2/t16
#: name: Table 16
#: description: The $m(HH)$ distributions in the boosted $3b$ signal regions (dots), after the fit under the background-only hypothesis. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background model (stacked histogram) is shown with its total post-fit uncertainty (gray band). The uncertainty bands are defined using an ensemble of curves constructed by sampling a multivariate Gaussian probability density function built from the covariance matrix of the fit. Representative spin-2 signal hypotheses (dashed and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. No significant excess of data relative to the SM background is observed.
#: data_file: data16_boosted_sr_3b_mhh_spin2.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: Data,,,Events / 100 GeV
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 3b Signal Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data,error +,error -
850.0,800.0,900.0,271.0,16.46207763315433,-16.46207763315433
950.0,900.0,1000.0,445.0,21.095023109728988,-21.095023109728988
1050.0,1000.0,1100.0,388.0,19.697715603592208,-19.697715603592208
1150.0,1100.0,1200.0,243.0,15.588457268119896,-15.588457268119896
1250.0,1200.0,1300.0,130.0,11.40175425099138,-11.40175425099138
1350.0,1300.0,1400.0,76.0,8.717797887081348,-8.717797887081348
1450.0,1400.0,1500.0,38.0,6.164414002968976,-6.164414002968976
1550.0,1500.0,1600.0,28.0,5.291502622129181,-5.291502622129181
1650.0,1600.0,1700.0,15.0,3.872983346207417,-3.872983346207417
1750.0,1700.0,1800.0,9.0,3.0,-3.0
1850.0,1800.0,1900.0,7.0,2.6457513110645907,-2.6457513110645907
1950.0,1900.0,2000.0,1.0,1.0,-1.0
2050.0,2000.0,2100.0,3.0,1.7320508075688772,-1.7320508075688772
2150.0,2100.0,2200.0,3.0,1.7320508075688772,-1.7320508075688772
2250.0,2200.0,2300.0,-,0,0
2350.0,2300.0,2400.0,3.0,1.7320508075688772,-1.7320508075688772
2450.0,2400.0,2500.0,-,0,0
2550.0,2500.0,2600.0,-,0,0
2650.0,2600.0,2700.0,-,0,0
2750.0,2700.0,2800.0,-,0,0
2850.0,2800.0,2900.0,-,0,0
2950.0,2900.0,3000.0,-,0,0
3050.0,3000.0,3100.0,-,0,0
3150.0,3100.0,3200.0,-,0,0
3250.0,3200.0,3300.0,-,0,0
3350.0,3300.0,3400.0,-,0,0
3450.0,3400.0,3500.0,-,0,0
3550.0,3500.0,3600.0,-,0,0
3650.0,3600.0,3700.0,-,0,0
3750.0,3700.0,3800.0,-,0,0
3850.0,3800.0,3900.0,-,0,0
3950.0,3900.0,4000.0,-,0,0
4050.0,4000.0,4100.0,-,0,0
4150.0,4100.0,4200.0,-,0,0
4250.0,4200.0,4300.0,-,0,0
4350.0,4300.0,4400.0,-,0,0
4450.0,4400.0,4500.0,-,0,0
4550.0,4500.0,4600.0,-,0,0
4650.0,4600.0,4700.0,-,0,0
4750.0,4700.0,4800.0,-,0,0
4850.0,4800.0,4900.0,-,0,0
4950.0,4900.0,5000.0,-,0,0
5050.0,5000.0,5100.0,-,0,0
5150.0,5100.0,5200.0,-,0,0

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,$t\bar{t}$ [Events / 100 GeV]
850.0,800.0,900.0,42.213348388671875
950.0,900.0,1000.0,73.19869995117188
1050.0,1000.0,1100.0,56.7095832824707
1150.0,1100.0,1200.0,33.10795593261719
1250.0,1200.0,1300.0,15.983967781066895
1350.0,1300.0,1400.0,9.249783515930176
1450.0,1400.0,1500.0,5.451967239379883
1550.0,1500.0,1600.0,3.268882989883423
1650.0,1600.0,1700.0,1.9911638498306274
1750.0,1700.0,1800.0,1.2308272123336792
1850.0,1800.0,1900.0,0.7713630199432373
1950.0,1900.0,2000.0,0.4897071123123169
2050.0,2000.0,2100.0,0.314716637134552
2150.0,2100.0,2200.0,0.2046140879392624
2250.0,2200.0,2300.0,0.1345059871673584
2350.0,2300.0,2400.0,0.0893554612994194
2450.0,2400.0,2500.0,0.05996228754520416
2550.0,2500.0,2600.0,0.04062884673476219
2650.0,2600.0,2700.0,0.027785995975136757
2750.0,2700.0,2800.0,0.019173458218574524
2850.0,2800.0,2900.0,0.013344899751245975
2950.0,2900.0,3000.0,0.009365606121718884
3050.0,3000.0,3100.0,0.006625728216022253
3150.0,3100.0,3200.0,0.004723727703094482
3250.0,3200.0,3300.0,0.0033928880002349615
3350.0,3300.0,3400.0,0.0024545397609472275
3450.0,3400.0,3500.0,0.0017880116356536746
3550.0,3500.0,3600.0,0.0013111565494909883
3650.0,3600.0,3700.0,0.0009676233748905361
3750.0,3700.0,3800.0,0.0007184679852798581
3850.0,3800.0,3900.0,0.0005365824908949435
3950.0,3900.0,4000.0,0.00040296546649187803
4050.0,4000.0,4100.0,0.00030420723487623036
4150.0,4100.0,4200.0,0.0002307817921973765
4250.0,4200.0,4300.0,0.000175878667505458
4350.0,4300.0,4400.0,0.00013459842011798173
4450.0,4400.0,4500.0,0.00010339510481571779
4550.0,4500.0,4600.0,7.968718273332343e-05
4650.0,4600.0,4700.0,6.158447649795562e-05
4750.0,4700.0,4800.0,4.769532824866474e-05
4850.0,4800.0,4900.0,3.6989531508879736e-05
4950.0,4900.0,5000.0,2.8700436814688146e-05
5050.0,5000.0,5100.0,2.2254591385717504e-05
5150.0,5100.0,5200.0,1.722088381939102e-05

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Multijet [Events / 100 GeV]
850.0,800.0,900.0,228.4090118408203
950.0,900.0,1000.0,414.74371337890625
1050.0,1000.0,1100.0,335.902587890625
1150.0,1100.0,1200.0,195.2234344482422
1250.0,1200.0,1300.0,105.96943664550781
1350.0,1300.0,1400.0,57.85085678100586
1450.0,1400.0,1500.0,32.46498489379883
1550.0,1500.0,1600.0,18.75571632385254
1650.0,1600.0,1700.0,11.12308120727539
1750.0,1700.0,1800.0,6.755415916442871
1850.0,1800.0,1900.0,4.193094253540039
1950.0,1900.0,2000.0,2.6553287506103516
2050.0,2000.0,2100.0,1.712971806526184
2150.0,2100.0,2200.0,1.1242457628250122
2250.0,2200.0,2300.0,0.749811589717865
2350.0,2300.0,2400.0,0.5076712369918823
2450.0,2400.0,2500.0,0.34862828254699707
2550.0,2500.0,2600.0,0.242630735039711
2650.0,2600.0,2700.0,0.17101061344146729
2750.0,2700.0,2800.0,0.12198814749717712
2850.0,2800.0,2900.0,0.08801984786987305
2950.0,2900.0,3000.0,0.06420767307281494
3050.0,3000.0,3100.0,0.04732944443821907
3150.0,3100.0,3200.0,0.03523913025856018
3250.0,3200.0,3300.0,0.02649063616991043
3350.0,3300.0,3400.0,0.020098624750971794
3450.0,3400.0,3500.0,0.015384607017040253
