#: table_doi: 10.17182/hepdata.111124.v2/t18
#: name: Table 18
#: description: The $m(HH)$ distributions in the boosted $4b$ signal regions (dots), after the fit under the background-only hypothesis. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background model (stacked histogram) is shown with its total post-fit uncertainty (gray band). The uncertainty bands are defined using an ensemble of curves constructed by sampling a multivariate Gaussian probability density function built from the covariance matrix of the fit. Representative spin-2 signal hypotheses (dashed and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. No significant excess of data relative to the SM background is observed.
#: data_file: data18_boosted_sr_4b_mhh_spin2.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 4b Signal Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data [Events / 100 GeV],error +,error -
850.0,800.0,900.0,12.0,3.4641016151377544,-3.4641016151377544
950.0,900.0,1000.0,29.0,5.385164807134504,-5.385164807134504
1050.0,1000.0,1100.0,22.0,4.69041575982343,-4.69041575982343
1150.0,1100.0,1200.0,11.0,3.3166247903554,-3.3166247903554
1250.0,1200.0,1300.0,3.0,1.7320508075688772,-1.7320508075688772
1350.0,1300.0,1400.0,4.0,2.0,-2.0
1450.0,1400.0,1500.0,3.0,1.7320508075688772,-1.7320508075688772
1550.0,1500.0,1600.0,2.0,1.4142135623730951,-1.4142135623730951
1650.0,1600.0,1700.0,1.0,1.0,-1.0
1750.0,1700.0,1800.0,-,0,0
1850.0,1800.0,1900.0,1.0,1.0,-1.0
1950.0,1900.0,2000.0,-,0,0
2050.0,2000.0,2100.0,1.0,1.0,-1.0
2150.0,2100.0,2200.0,-,0,0
2250.0,2200.0,2300.0,-,0,0
2350.0,2300.0,2400.0,-,0,0
2450.0,2400.0,2500.0,-,0,0
2550.0,2500.0,2600.0,-,0,0
2650.0,2600.0,2700.0,-,0,0
2750.0,2700.0,2800.0,-,0,0
2850.0,2800.0,2900.0,-,0,0
2950.0,2900.0,3000.0,-,0,0
3050.0,3000.0,3100.0,-,0,0
3150.0,3100.0,3200.0,-,0,0
3250.0,3200.0,3300.0,-,0,0
3350.0,3300.0,3400.0,-,0,0

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,$t\bar{t}$ [Events / 100 GeV]
850.0,800.0,900.0,1.404308795928955
950.0,900.0,1000.0,2.4775545597076416
1050.0,1000.0,1100.0,1.9036712646484375
1150.0,1100.0,1200.0,1.0995243787765503
1250.0,1200.0,1300.0,0.5355738997459412
1350.0,1300.0,1400.0,0.30981311202049255
1450.0,1400.0,1500.0,0.1825677752494812
1550.0,1500.0,1600.0,0.1094437837600708
1650.0,1600.0,1700.0,0.06665658205747604
1750.0,1700.0,1800.0,0.041200701147317886
1850.0,1800.0,1900.0,0.025820661336183548
1950.0,1900.0,2000.0,0.01639372669160366
2050.0,2000.0,2100.0,0.010537244379520416
2150.0,2100.0,2200.0,0.0068524242378771305
2250.0,2200.0,2300.0,0.00450597470626235
2350.0,2300.0,2400.0,0.0029946479480713606
2450.0,2400.0,2500.0,0.0020105817820876837
2550.0,2500.0,2600.0,0.0013631407637149096
2650.0,2600.0,2700.0,0.00093291379744187
2750.0,2700.0,2800.0,0.0006442806334234774
2850.0,2800.0,2900.0,0.00044885132228955626
2950.0,2900.0,3000.0,0.00031535045127384365
3050.0,3000.0,3100.0,0.00022336974507197738
3150.0,3100.0,3200.0,0.00015946949133649468
3250.0,3200.0,3300.0,0.00011472028563730419
3350.0,3300.0,3400.0,8.313870057463646e-05

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Multijet [Events / 100 GeV]
850.0,800.0,900.0,11.573546409606934
950.0,900.0,1000.0,23.361562728881836
1050.0,1000.0,1100.0,18.773271560668945
1150.0,1100.0,1200.0,10.802486419677734
1250.0,1200.0,1300.0,6.043989658355713
1350.0,1300.0,1400.0,3.473651170730591
1450.0,1400.0,1500.0,2.042283296585083
1550.0,1500.0,1600.0,1.2278823852539062
1650.0,1600.0,1700.0,0.7532839775085449
1750.0,1700.0,1800.0,0.47068268060684204
1850.0,1800.0,1900.0,0.2990848124027252
1950.0,1900.0,2000.0,0.19301214814186096
2050.0,2000.0,2100.0,0.12635910511016846
2150.0,2100.0,2200.0,0.08383647352457047
2250.0,2200.0,2300.0,0.056323811411857605
2350.0,2300.0,2400.0,0.03828762099146843
2450.0,2400.0,2500.0,0.02631770446896553
2550.0,2500.0,2600.0,0.018281618133187294
2650.0,2600.0,2700.0,0.012827705591917038
2750.0,2700.0,2800.0,0.009088263846933842
2850.0,2800.0,2900.0,0.006499590817838907
2950.0,2900.0,3000.0,0.004691344685852528
3050.0,3000.0,3100.0,0.0034176399931311607
3150.0,3100.0,3200.0,0.002513594925403595
3250.0,3200.0,3300.0,0.0018676184117794037
3350.0,3300.0,3400.0,0.0014035431668162346

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Total Background [Events / 100 GeV],error +,error -
850.0,800.0,900.0,12.97785472869873,36.02478994735801,-36.02478994735801
950.0,900.0,1000.0,25.8391170501709,0.9896764524079664,-0.9896764524079664
1050.0,1000.0,1100.0,20.676942825317383,0.43787406360364045,-0.43787406360364045
1150.0,1100.0,1200.0,11.902009963989258,0.7049223534934015,-0.7049223534934015
1250.0,1200.0,1300.0,6.579563617706299,0.5802370199798492,-0.5802370199798492
1350.0,1300.0,1400.0,3.783463954925537,0.23945155281919828,-0.23945155281919828
1450.0,1400.0,1500.0,2.224851131439209,0.4243214154968591,-0.4243214154968591
1550.0,1500.0,1600.0,1.337326169013977,0.13493520673248538,-0.13493520673248538
1650.0,1600.0,1700.0,0.8199405670166016,0.07348504994860927,-0.07348504994860927
1750.0,1700.0,1800.0,0.5118833780288696,0.053782003888334096,-0.053782003888334096
1850.0,1800.0,1900.0,0.3249054551124573,0.042249424702247684,-0.042249424702247684
1950.0,1900.0,2000.0,0.20940588414669037,0.03506362785404621,-0.03506362785404621
2050.0,2000.0,2100.0,0.13689634203910828,0.031820385645222715,-0.031820385645222715
2150.0,2100.0,2200.0,0.09068889915943146,0.028079060103501557,-0.028079060103501557
2250.0,2200.0,2300.0,0.060829780995845795,0.0249316205628681,-0.0249316205628681
2350.0,2300.0,2400.0,0.04128226637840271,0.022362448393672185,-0.022362448393672185
2450.0,2400.0,2500.0,0.028328286483883858,0.020922661986226998,-0.020922661986226998
2550.0,2500.0,2600.0,0.019644757732748985,0.02012566506253039,-0.02012566506253039
2650.0,2600.0,2700.0,0.01376061886548996,0.019762155895129738,-0.019762155895129738
2750.0,2700.0,2800.0,0.009732544422149658,0.01854232059588788,-0.01854232059588788
2850.0,2800.0,2900.0,0.006948442198336124,0.018444968696179107,-0.018444968696179107
2950.0,2900.0,3000.0,0.005006695166230202,0.017011565550510224,-0.017011565550510224
3050.0,3000.0,3100.0,0.0036410100292414427,0.01658815794533901,-0.01658815794533901
3150.0,3100.0,3200.0,0.0026730643585324287,0.01640414291647901,-0.01640414291647901
3250.0,3200.0,3300.0,0.0019823387265205383,0.0158834386594758,-0.0158834386594758
3350.0,3300.0,3400.0,0.0014866819838061929,0.015929926253105166,-0.015929926253105166

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,1 TeV Spin-2 Signal [Events / 100 GeV]
850.0,800.0,900.0,0.27290175999888405
950.0,900.0,1000.0,1.9927397322201965
1050.0,1000.0,1100.0,1.527799272281386
1150.0,1100.0,1200.0,0.3252564488929019
1250.0,1200.0,1300.0,0.13625704002153374
1350.0,1300.0,1400.0,0.09015746076438316
1450.0,1400.0,1500.0,0.0654624621872974
1550.0,1500.0,1600.0,0.04283806849890843
1650.0,1600.0,1700.0,0.031251725766995614
1750.0,1700.0,1800.0,0.015084041627935772
1850.0,1800.0,1900.0,0.002028350890649549
1950.0,1900.0,2000.0,-
2050.0,2000.0,2100.0,-
2150.0,2100.0,2200.0,-
2250.0,2200.0,2300.0,-
2350.0,2300.0,2400.0,-
2450.0,2400.0,2500.0,-
2550.0,2500.0,2600.0,-
2650.0,2600.0,2700.0,-
2750.0,2700.0,2800.0,-
2850.0,2800.0,2900.0,-
2950.0,2900.0,3000.0,-
3050.0,3000.0,3100.0,-
3150.0,3100.0,3200.0,-
3250.0,3200.0,3300.0,-
3350.0,3300.0,3400.0,-

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,2 TeV Spin-2 Signal [Events / 100 GeV]
850.0,800.0,900.0,0.00021821094821356513
950.0,900.0,1000.0,0.002776121323285824
1050.0,1000.0,1100.0,0.005485624192184491
1150.0,1100.0,1200.0,0.010186987327594791
1250.0,1200.0,1300.0,0.017945272008842123
1350.0,1300.0,1400.0,0.030105134982044514
1450.0,1400.0,1500.0,0.05684954098012148
1550.0,1500.0,1600.0,0.09482255132411707
1650.0,1600.0,1700.0,0.17536374983008066
1750.0,1700.0,1800.0,0.39016533123509894
1850.0,1800.0,1900.0,0.6994167726820529
1950.0,1900.0,2000.0,1.0159940006107762
2050.0,2000.0,2100.0,0.6676634602798687
2150.0,2100.0,2200.0,0.21354958358217827
2250.0,2200.0,2300.0,0.07478724712014603
2350.0,2300.0,2400.0,0.030100791525009298
2450.0,2400.0,2500.0,0.021944047367910183
2550.0,2500.0,2600.0,0.008591244097600707
2650.0,2600.0,2700.0,0.0028669880458518466
2750.0,2700.0,2800.0,0.005303257310376913
2850.0,2800.0,2900.0,0.004045954745608611
