#: table_doi: 10.17182/hepdata.111124.v2/t19
#: name: Table 19
#: description: Expected (dashed black lines) and observed (solid black lines) 95% CL upper limits on the cross-section of resonant $HH$ production in the spin-0 signal models. The $\pm 1 \sigma$ and $\pm 2 \sigma$ uncertainty ranges for the expected limits (colored bands) are shown. Expected limits using each of the resolved and boosted channels individually (dashed colored lines) are shown. The nominal $H\rightarrow b\bar{b}$ branching ratio is taken as 0.582.
#: data_file: data19_limits_spin0.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
m(X) [GeV],Combined observed cross-section upper limit at 95% CL of $pp \rightarrow X \rightarrow HH$ [fb]
251,3740.014622641509
260,8413.66618514151
280,7741.787588443396
300,3479.4374410377354
350,389.6959905660377
400,162.67505896226416
500,85.19740566037736
600,25.975147405660376
700,22.12464622641509
800,12.00722287735849
900,12.199439858490566
1000,6.452712264150943
1100,13.170459905660376
1200,9.315153301886792
1300,6.053478773584906
1400,7.753154481132075
1500,7.399145047169812
1600,5.159864958602005
1800,3.2639736429650945
2000,2.800084073337232
2250,2.8237092042155836
2500,1.9680460417732106
2750,0.9609069266788207
3000,1.1458324184646345
3500,1.087752763565852
4000,2.7082376588181605
4500,2.0445151596255307
5000,1.4447149228597083

m(X) [GeV],Combined expected cross-section upper limit at 95% CL of $pp \rightarrow X  \rightarrow HH$ [fb],$1\sigma$ +,$1\sigma$ -,$2\sigma$ +,$2\sigma$ -
251,2979.6510908018868,523.40484,-304.13329999999996,1407.0093299999999,-488.28901999999994
260,6039.199321933963,883.1897199999999,-588.4636100000002,2076.01403,-965.4154100000003
280,4262.523820754717,652.8025700000001,-418.11735999999996,1577.88927,-684.0793
300,2542.027535377358,478.3830200000001,-267.00474999999994,1261.9869800000001,-424.82410999999996
350,651.8560731132076,94.27638999999999,-63.274129999999985,223.27845000000002,-104.04823999999999
400,266.6207841981132,40.448769999999996,-26.21915,97.03166999999999,-42.89713
500,94.16933962264152,13.552980000000002,-9.198690000000003,31.59945,-15.103170000000002
600,45.35734080188679,6.670829999999999,-4.456940000000001,15.7819,-7.304
700,24.554599056603774,3.6139399999999995,-2.4172900000000004,8.54035,-3.9610200000000004
800,15.860406839622643,2.3201099999999997,-1.56753,5.41682,-2.56732
900,11.067777122641509,1.58161,-1.04909,3.7158200000000003,-1.73922
1000,8.148614386792453,1.1663700000000001,-0.7723899999999999,2.71605,-1.2804999999999997
1100,6.178125,0.8964800000000004,-0.5856099999999997,2.11133,-0.9708399999999999
1200,5.244693396226415,0.7723900000000001,-0.49712999999999985,1.8378900000000002,-0.824162
1300,4.48971108490566,0.6940599999999999,-0.42557,1.70445,-0.705525
1400,3.808254716981132,0.6312500000000001,-0.3609760000000001,1.6028600000000002,-0.59844
1500,3.344310141509434,0.59144,-0.317001,1.55468,-0.525535
1600,3.1624450234767982,0.6188883841038801,-0.299760629416872,1.73977434016772,-0.49695488113850095
1800,2.4822574276396905,0.534254546397737,-0.23528726771854802,1.5888488386973871,-0.39006842356160604
2000,2.028431636492046,0.4655771781514081,-0.192270202191677,1.453891848758238,-0.318753051935188
2250,1.7570651270318247,0.41797411395248496,-0.16654801727634094,1.3461463263318052,-0.27610980898467197
2500,1.4728963534524175,0.34761154040259395,-0.139612336245866,1.11166016731252,-0.23145478477110498
2750,1.3321449737772848,0.30576600293367107,-0.1262708482992,0.9668027055464251,-0.20933674488826998
3000,1.2066365432807518,0.267613778959981,-0.11437420318965102,0.8420412519693989,-0.18961402190138502
3500,1.4444245219027092,0.31255600496947805,-0.129329738190612,0.820931561035241,-0.23888816056849999
4000,1.428776533018868,0.273292,-0.05606099999999997,0.741499,-0.07217499999999999
4500,1.4471757075471698,0.25727800000000006,-0.075936,0.6994179999999999,-0.14008299999999996
5000,1.5659994103773585,0.308864,-0.13831899999999997,0.8030830000000001,-0.22621199999999997

m(X) [GeV],Resolved expected cross-section upper limit at 95% CL in the combination range of $pp \rightarrow X  \rightarrow HH$ [fb]
251,-
260,-
280,-
300,-
350,-
400,-
500,-
600,-
700,-
800,-
900,11.213561320754717
1000,8.390801886792453
1100,6.549174528301887
1200,6.103007075471698
1300,6.7551297169811315
1400,7.722346698113207
1500,9.963649764150944
1600,-
1800,-
2000,-
2250,-
2500,-
2750,-
3000,-
3500,-
4000,-
4500,-
5000,-

m(X) [GeV],Boosted expected cross-section upper limit at 95% CL in the combination range of $pp \rightarrow X  \rightarrow HH$ [fb]
251,-
260,-
280,-
300,-
350,-
400,-
500,-
600,-
700,-
800,-
900,81.36739386792453
1000,37.76589033018868
1100,21.39714033018868
1200,11.865271226415095
1300,6.793307783018868
1400,4.857606132075471
1500,3.8134728773584907
1600,-
1800,-
2000,-
2250,-
2500,-
2750,-
3000,-
3500,-
4000,-
4500,-
5000,-

