#: table_doi: 10.17182/hepdata.111124.v2/t20
#: name: Table 20
#: description: Expected (dashed black lines) and observed (solid black lines) 95% CL upper limits on the cross-section of resonant $HH$ production in the spin-2 signal models. The $\pm 1 \sigma$ and $\pm 2 \sigma$ uncertainty ranges for the expected limits (colored bands) are shown. Expected limits using each of the resolved and boosted channels individually (dashed colored lines) are shown. The theoretical prediction for the bulk RS model with $k/\bar{M}_{\text{Pl}} = 1$ (solid red line) is shown; the decrease below 350 GeV is due to a sharp reduction in the $G^{*}_{\text{KK}} \rightarrow HH$ branching ratio. The nominal $H\rightarrow b\bar{b}$ branching ratio is taken as 0.582.
#: data_file: data20_limits_spin2.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
m(G*(KK)) [GeV],Combined observed cross-section upper limit at 95% CL of $pp \rightarrow G^{*}(KK)  \rightarrow HH$ [fb]
251,625.2319280660377
260,703.4866450471698
280,1429.6830778301887
300,1508.616037735849
350,253.40101234645104
400,120.18862028301888
500,66.67001768867925
600,24.526444575471697
700,20.885318396226413
800,11.99472287735849
900,11.982016509433963
1000,8.757340801886793
1100,12.64100825471698
1200,9.458579009433961
1300,8.046314858490566
1400,7.796874999999999
1500,6.616774764150943
1600,4.641186964079216
1800,3.0818854119871757
2000,2.733764059939564
2250,2.320779275884484
2500,1.5491390855552978
2750,0.843766685530684
3000,0.9079982751536851
3500,0.8648077266560524
4000,1.694657357449947
4500,1.5904799361585555
5000,1.3000152728384433

m(G*(KK)) [GeV],Combined expected cross-section upper limit at 95% CL of $pp \rightarrow G^{*}(KK)  \rightarrow HH$ [fb],$1\sigma$ +,$1\sigma$ -,$2\sigma$ +,$2\sigma$ -
251,1263.464504716981,189.4536,-123.17687000000001,456.57045999999997,-202.08885
260,1494.7445165094339,219.49922000000004,-145.93777999999998,518.03789,-239.3818
280,2132.31391509434,299.00388,-206.29411000000005,686.57981,-339.64981
300,1852.3648879716982,279.66369999999995,-180.41281000000004,662.94314,-295.98258000000004
350,527.3802667569045,76.239977318222,-51.250330153323006,180.00706300911997,-84.2398214225779
400,219.52570754716982,31.54057999999999,-21.36764,74.10534999999999,-35.113800000000005
500,83.88074882075472,11.774490000000004,-8.12761,27.09519,-13.38046
600,41.83160377358491,5.886679999999998,-4.06119,13.547360000000001,-6.68285
700,24.000972877358492,3.410079999999999,-2.3401900000000007,7.8718900000000005,-3.8467800000000008
800,15.725442216981131,2.244630000000001,-1.5401899999999995,5.135280000000001,-2.5291299999999994
900,10.539091981132076,1.4832,-0.9989700000000004,3.42805,-1.6561400000000002
1000,7.689534198113209,1.09131,-0.7288700000000001,2.53034,-1.2083500000000003
1100,5.805984669811321,0.8354700000000002,-0.55034,1.95238,-0.9123699999999999
1200,4.927830188679245,0.7206600000000003,-0.46709999999999985,1.7101400000000002,-0.7743739999999999
1300,4.181191037735849,0.6425899999999998,-0.39632,1.57376,-0.6570420000000001
1400,3.436320754716981,0.5739400000000001,-0.32572199999999996,1.46853,-0.539993
1500,2.9436556603773587,0.527452,-0.279022,1.395482,-0.46257400000000004
1600,2.76631543716977,0.5485114968682839,-0.26221244968867596,1.5651058009005938,-0.43470604202279994
1800,2.149502199763912,0.461049569937091,-0.20374619243998504,1.368917446018541,-0.337778396860867
2000,1.7628967761833962,0.403603259040752,-0.16710078540582202,1.252907405688032,-0.277026209582768
2250,1.4218131555217983,0.331952222760751,-0.13477028161704802,1.045380717658976,-0.223427437459981
2500,1.2138110107695195,0.28114274869574796,-0.11505425387012097,0.8834018938429989,-0.19074143648460998
2750,1.081250986773352,0.24646556364670102,-0.10248920501278996,0.770681417493689,-0.169910607654482
3000,0.980153509130003,0.21445625092327597,-0.09290641596638602,0.6617765691938,-0.154023885636334
3500,1.1351121146678893,0.20630289429673798,-0.12264094413239401,0.598486370975468,-0.21169283675513503
4000,1.072113541704661,0.159523454714613,-0.076236296658024,0.5470156078961719,-0.11734599923418504
4500,1.1262936185877153,0.19760251301533105,-0.09670660107620299,0.533740651955285,-0.136094382643383
5000,1.2576364891082163,0.22107229339158496,-0.10702480797757202,0.7346710598497931,-0.18664833698985

m(G*(KK)) [GeV],Resolved expected cross-section upper limit at 95% CL in the combination range of $pp \rightarrow G^{*}(KK)  \rightarrow HH$ [fb]
251,-
260,-
280,-
300,-
350,-
400,-
500,-
600,-
700,-
800,-
900,10.736704009433963
1000,7.919752358490567
1100,6.2107311320754715
1200,5.986217570754716
1300,6.843867924528301
1400,8.232635613207547
1500,10.194280660377359
1600,-
1800,-
2000,-
2250,-
2500,-
2750,-
3000,-
3500,-
4000,-
4500,-
5000,-

m(G*(KK)) [GeV],Boosted expected cross-section upper limit at 95% CL in the combination range of $pp \rightarrow G^{*}(KK)  \rightarrow HH$ [fb]
251,-
260,-
280,-
300,-
350,-
400,-
500,-
600,-
700,-
800,-
900,62.54413325471698
1000,35.35610259433962
1100,18.59271816037736
1200,9.83092570754717
1300,5.766892688679245
1400,4.042128537735849
1500,3.2312499999999997
1600,-
1800,-
2000,-
2250,-
2500,-
2750,-
3000,-
3500,-
4000,-
4500,-
5000,-

m(G*(KK)) [GeV],"RS Graviton, $k/\bar{M}_{\text{Pl}} = 1$ cross-section [fb]"
251,0.332398
260,80.9872
280,737.823
300,1603.25
350,2897.64
400,2739.87
500,1448.57
600,676
700,335
800,177
900,96.3
1000,55.9
1100,35.4
1200,22.4
1300,14.2
1400,8.99
1500,5.7
1600,3.9
1800,1.82
2000,0.903
2250,0.41
2500,0.186
2750,0.092
3000,0.044
3500,0.0115
4000,0.0032
4500,0.000891
5000,0.000248

