#: table_doi: 10.17182/hepdata.111124.v2/t3
#: name: Table 3
#: description: Corrected $m(HH)$ distribution in the resolved $4b$ validation region (dots), compared with the reweighted distribution in $2b$ validation region (teal histogram). The error bars on the $4b$ points represent the Poisson uncertainties corresponding to their event yields. The final bin includes overflow. The background uncertainty (gray band) is computed by adding all individual components in quadrature. The bottom panel shows the difference between the $4b$ and reweighted $2b$ distributions, relative to the $2b$ distribution.
#: data_file: data3_resolved_vr_mhh.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Resolved 4b Validation Region Data
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Data [Events / 14.3 GeV],error +,error -
257.145,250.0,264.29,8889.0,94.28,-94.28
271.43,264.29,278.57,5357.0,73.19,-73.19
285.71500000000003,278.57,292.86,4599.0,67.82,-67.82
300.0,292.86,307.14,3801.0,61.65,-61.65
314.28499999999997,307.14,321.43,2850.0,53.39,-53.39
328.57,321.43,335.71,2480.0,49.8,-49.8
342.855,335.71,350.0,2090.0,45.72,-45.72
357.145,350.0,364.29,2016.0,44.9,-44.9
371.43,364.29,378.57,1943.0,44.08,-44.08
385.71500000000003,378.57,392.86,1834.0,42.83,-42.83
400.0,392.86,407.14,1835.0,42.84,-42.84
414.28499999999997,407.14,421.43,1709.0,41.34,-41.34
428.57,421.43,435.71,1576.0,39.7,-39.7
442.855,435.71,450.0,1395.0,37.35,-37.35
457.145,450.0,464.29,1240.0,35.21,-35.21
471.43,464.29,478.57,1126.0,33.56,-33.56
485.71500000000003,478.57,492.86,971.0,31.16,-31.16
500.0,492.86,507.14,886.0,29.77,-29.77
514.285,507.14,521.43,766.0,27.68,-27.68
528.5699999999999,521.43,535.71,732.0,27.06,-27.06
542.855,535.71,550.0,595.0,24.39,-24.39
557.145,550.0,564.29,538.0,23.19,-23.19
571.4300000000001,564.29,578.57,509.0,22.56,-22.56
585.715,578.57,592.86,440.0,20.98,-20.98
600.0,592.86,607.14,373.0,19.31,-19.31
614.285,607.14,621.43,313.0,17.69,-17.69
628.5699999999999,621.43,635.71,298.0,17.26,-17.26
642.855,635.71,650.0,271.0,16.46,-16.46
657.145,650.0,664.29,267.0,16.34,-16.34
671.4300000000001,664.29,678.57,223.0,14.93,-14.93
685.715,678.57,692.86,183.0,13.53,-13.53
700.0,692.86,707.14,165.0,12.85,-12.85
714.285,707.14,721.43,151.0,12.29,-12.29
728.5699999999999,721.43,735.71,134.0,11.58,-11.58
742.855,735.71,750.0,136.0,11.66,-11.66
757.145,750.0,764.29,115.0,10.72,-10.72
771.4300000000001,764.29,778.57,100.0,10.0,-10.0
785.715,778.57,792.86,106.0,10.3,-10.3
800.0,792.86,807.14,92.0,9.59,-9.59
814.285,807.14,821.43,71.0,8.43,-8.43
828.5699999999999,821.43,835.71,72.0,8.49,-8.49
842.855,835.71,850.0,82.0,9.06,-9.06
857.145,850.0,864.29,60.0,7.75,-7.75
871.4300000000001,864.29,878.57,63.0,7.94,-7.94
885.715,878.57,892.86,55.0,7.42,-7.42
900.0,892.86,907.14,40.0,6.32,-6.32
914.285,907.14,921.43,31.0,5.57,-5.57
928.5699999999999,921.43,935.71,42.0,6.48,-6.48
942.855,935.71,950.0,41.0,6.4,-6.4
957.145,950.0,964.29,29.0,5.39,-5.39
971.4300000000001,964.29,978.57,15.0,3.87,-3.87
985.715,978.57,992.86,23.0,4.8,-4.8
1000.0,992.86,1007.14,20.0,4.47,-4.47
1014.285,1007.14,1021.43,23.0,4.8,-4.8
1028.57,1021.43,1035.71,14.0,3.74,-3.74
1042.855,1035.71,1050.0,21.0,4.58,-4.58
1057.145,1050.0,1064.29,19.0,4.36,-4.36
1071.4299999999998,1064.29,1078.57,12.0,3.46,-3.46
1085.715,1078.57,1092.86,15.0,3.87,-3.87
1100.0,1092.86,1107.14,5.0,2.24,-2.24
1114.285,1107.14,1121.43,9.0,3.0,-3.0
1128.5700000000002,1121.43,1135.71,5.0,2.24,-2.24
1142.855,1135.71,1150.0,4.0,2.0,-2.0
1157.145,1150.0,1164.29,6.0,2.45,-2.45
1171.4299999999998,1164.29,1178.57,12.0,3.46,-3.46
1185.715,1178.57,1192.86,7.0,2.65,-2.65
1200.0,1192.86,1207.14,7.0,2.65,-2.65
1214.285,1207.14,1221.43,8.0,2.83,-2.83
1228.5700000000002,1221.43,1235.71,3.0,1.73,-1.73
1242.855,1235.71,1250.0,4.0,2.0,-2.0
1257.145,1250.0,1264.29,4.0,2.0,-2.0
1271.4299999999998,1264.29,1278.57,2.0,1.41,-1.41
