#: table_doi: 10.17182/hepdata.111124.v2/t5
#: name: Table 5
#: description: Corrected $m(HH)$ distribution in the resolved $4b$ signal region (dots), after the fit under the background-only hypothesis. The error bars on the $4b$ points represent the Poisson uncertainties corresponding to their event yields. The background model (teal histogram) is shown with its total post-fit uncertainty (gray band). The final bin includes overflow. Representative spin-2 signal hypotheses (dashed, dotted, and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. The bottom panel shows the difference between the $4b$ distribution and the background model, relative to the background model. No significant excess of data relative to the SM background is observed.
#: data_file: data5_resolved_sr_postfit_corrected_mhh_spin2.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Resolved Signal Region Data (All years combined)
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Data [Events / 14.3 GeV],error +,error -
257.145,250.0,264.29,7328.0,85.6,-85.6
271.43,264.29,278.57,3299.0,57.44,-57.44
285.71500000000003,278.57,292.86,3162.0,56.23,-56.23
300.0,292.86,307.14,2681.0,51.78,-51.78
314.28499999999997,307.14,321.43,2084.0,45.65,-45.65
328.57,321.43,335.71,1770.0,42.07,-42.07
342.855,335.71,350.0,1644.0,40.55,-40.55
357.145,350.0,364.29,1702.0,41.26,-41.26
371.43,364.29,378.57,1564.0,39.55,-39.55
385.71500000000003,378.57,392.86,1541.0,39.26,-39.26
400.0,392.86,407.14,1446.0,38.03,-38.03
414.28499999999997,407.14,421.43,1301.0,36.07,-36.07
428.57,421.43,435.71,1148.0,33.88,-33.88
442.855,435.71,450.0,950.0,30.82,-30.82
457.145,450.0,464.29,850.0,29.15,-29.15
471.43,464.29,478.57,714.0,26.72,-26.72
485.71500000000003,478.57,492.86,642.0,25.34,-25.34
500.0,492.86,507.14,572.0,23.92,-23.92
514.285,507.14,521.43,485.0,22.02,-22.02
528.5699999999999,521.43,535.71,414.0,20.35,-20.35
542.855,535.71,550.0,377.0,19.42,-19.42
557.145,550.0,564.29,364.0,19.08,-19.08
571.4300000000001,564.29,578.57,251.0,15.84,-15.84
585.715,578.57,592.86,246.0,15.68,-15.68
600.0,592.86,607.14,208.0,14.42,-14.42
614.285,607.14,621.43,220.0,14.83,-14.83
628.5699999999999,621.43,635.71,162.0,12.73,-12.73
642.855,635.71,650.0,167.0,12.92,-12.92
657.145,650.0,664.29,158.0,12.57,-12.57
671.4300000000001,664.29,678.57,124.0,11.14,-11.14
685.715,678.57,692.86,108.0,10.39,-10.39
700.0,692.86,707.14,110.0,10.49,-10.49
714.285,707.14,721.43,91.0,9.54,-9.54
728.5699999999999,721.43,735.71,80.0,8.94,-8.94
742.855,735.71,750.0,73.0,8.54,-8.54
757.145,750.0,764.29,77.0,8.77,-8.77
771.4300000000001,764.29,778.57,59.0,7.68,-7.68
785.715,778.57,792.86,45.0,6.71,-6.71
800.0,792.86,807.14,59.0,7.68,-7.68
814.285,807.14,821.43,43.0,6.56,-6.56
828.5699999999999,821.43,835.71,40.0,6.32,-6.32
842.855,835.71,850.0,35.0,5.92,-5.92
857.145,850.0,864.29,31.0,5.57,-5.57
871.4300000000001,864.29,878.57,39.0,6.24,-6.24
885.715,878.57,892.86,34.0,5.83,-5.83
900.0,892.86,907.14,27.0,5.2,-5.2
914.285,907.14,921.43,20.0,4.47,-4.47
928.5699999999999,921.43,935.71,26.0,5.1,-5.1
942.855,935.71,950.0,16.0,4.0,-4.0
957.145,950.0,964.29,20.0,4.47,-4.47
971.4300000000001,964.29,978.57,15.0,3.87,-3.87
985.715,978.57,992.86,12.0,3.46,-3.46
999.98,992.86,1007.1,9.0,3.0,-3.0
1014.25,1007.1,1021.4,10.0,3.16,-3.16
1028.55,1021.4,1035.7,17.0,4.12,-4.12
1042.85,1035.7,1050.0,16.0,4.0,-4.0
1057.15,1050.0,1064.3,9.0,3.0,-3.0
1071.4499999999998,1064.3,1078.6,13.0,3.61,-3.61
1085.75,1078.6,1092.9,11.0,3.32,-3.32
1100.0,1092.9,1107.1,8.0,2.83,-2.83
1114.25,1107.1,1121.4,6.0,2.45,-2.45
1128.5500000000002,1121.4,1135.7,8.0,2.83,-2.83
1142.85,1135.7,1150.0,4.0,2.0,-2.0
1157.15,1150.0,1164.3,5.0,2.24,-2.24
1171.4499999999998,1164.3,1178.6,9.0,3.0,-3.0
1185.75,1178.6,1192.9,5.0,2.24,-2.24
1200.0,1192.9,1207.1,2.0,1.41,-1.41
1214.25,1207.1,1221.4,5.0,2.24,-2.24
1228.5500000000002,1221.4,1235.7,2.0,1.41,-1.41
1242.85,1235.7,1250.0,3.0,1.73,-1.73
1257.15,1250.0,1264.3,1.0,1.0,-1.0
1271.4499999999998,1264.3,1278.6,3.0,1.73,-1.73
1285.75,1278.6,1292.9,1.0,1.0,-1.0
1300.0,1292.9,1307.1,2.0,1.41,-1.41
1314.25,1307.1,1321.4,-,0,0
1328.5500000000002,1321.4,1335.7,3.0,1.73,-1.73
1342.85,1335.7,1350.0,1.0,1.0,-1.0
1357.15,1350.0,1364.3,1.0,1.0,-1.0
1371.4499999999998,1364.3,1378.6,2.0,1.41,-1.41
1385.75,1378.6,1392.9,1.0,1.0,-1.0
1400.0,1392.9,1407.1,1.0,1.0,-1.0
1414.25,1407.1,1421.4,-,0,0
1428.5500000000002,1421.4,1435.7,1.0,1.0,-1.0
1442.85,1435.7,1450.0,2.0,1.41,-1.41

#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Post-fit Background Estimate (background-only fit)
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Post-fit Background,total +,total -
257.145,250.0,264.29,7259.6,167.65,-167.65
271.43,264.29,278.57,3270.8,107.54,-107.54
285.71500000000003,278.57,292.86,3068.1,99.435,-99.435
300.0,292.86,307.14,2643.6,88.475,-88.475
314.28499999999997,307.14,321.43,2057.7,74.804,-74.804
328.57,321.43,335.71,1749.4,68.608,-68.608
342.855,335.71,350.0,1672.1,64.18,-64.18
357.145,350.0,364.29,1695.8,57.41,-57.41
371.43,364.29,378.57,1645.8,50.784,-50.784
385.71500000000003,378.57,392.86,1587.6,47.109,-47.109
400.0,392.86,407.14,1462.2,41.25,-41.25
414.28499999999997,407.14,421.43,1296.1,36.798,-36.798
428.57,421.43,435.71,1147.3,30.832,-30.832
442.855,435.71,450.0,1001.4,27.701,-27.701
457.145,450.0,464.29,877.32,25.869,-25.869
471.43,464.29,478.57,741.88,22.264,-22.264
485.71500000000003,478.57,492.86,650.28,21.413,-21.413
500.0,492.86,507.14,557.69,18.8,-18.8
514.285,507.14,521.43,487.38,16.628,-16.628
528.5699999999999,521.43,535.71,429.0,16.519,-16.519
542.855,535.71,550.0,370.96,15.313,-15.313
557.145,550.0,564.29,330.72,15.522,-15.522
571.4300000000001,564.29,578.57,284.52,13.158,-13.158
585.715,578.57,592.86,254.5,12.176,-12.176
600.0,592.86,607.14,226.81,11.516,-11.516
614.285,607.14,621.43,205.04,10.85,-10.85
628.5699999999999,621.43,635.71,180.53,10.524,-10.524
642.855,635.71,650.0,161.57,9.5328,-9.5328
657.145,650.0,664.29,146.62,8.623,-8.623
671.4300000000001,664.29,678.57,126.27,8.0195,-8.0195
685.715,678.57,692.86,112.88,7.6071,-7.6071
700.0,692.86,707.14,103.51,7.1653,-7.1653
714.285,707.14,721.43,92.125,6.6293,-6.6293
728.5699999999999,721.43,735.71,85.995,6.2,-6.2
742.855,735.71,750.0,76.628,6.0687,-6.0687
757.145,750.0,764.29,72.062,6.0167,-6.0167
771.4300000000001,764.29,778.57,61.78,5.6364,-5.6364
785.715,778.57,792.86,54.02,4.9805,-4.9805
800.0,792.86,807.14,51.911,4.4625,-4.4625
814.285,807.14,821.43,47.704,4.9468,-4.9468
828.5699999999999,821.43,835.71,41.25,4.3298,-4.3298
842.855,835.71,850.0,37.497,3.7701,-3.7701
857.145,850.0,864.29,34.519,4.0781,-4.0781
871.4300000000001,864.29,878.57,32.897,3.6585,-3.6585
885.715,878.57,892.86,29.343,3.3981,-3.3981
900.0,892.86,907.14,27.527,3.1819,-3.1819
914.285,907.14,921.43,23.171,3.127,-3.127
928.5699999999999,921.43,935.71,22.82,2.943,-2.943
942.855,935.71,950.0,19.299,3.0434,-3.0434
957.145,950.0,964.29,17.692,2.3476,-2.3476
971.4300000000001,964.29,978.57,16.277,3.5086,-3.5086
985.715,978.57,992.86,15.212,2.1169,-2.1169
999.98,992.86,1007.1,12.844,1.8971,-1.8971
1014.25,1007.1,1021.4,11.875,1.906,-1.906
1028.55,1021.4,1035.7,11.752,1.7677,-1.7677
1042.85,1035.7,1050.0,10.603,2.6105,-2.6105
1057.15,1050.0,1064.3,9.4617,1.5395,-1.5395
1071.4499999999998,1064.3,1078.6,8.0441,1.3904,-1.3904
1085.75,1078.6,1092.9,7.7951,1.3677,-1.3677
1100.0,1092.9,1107.1,6.5546,1.3041,-1.3041
1114.25,1107.1,1121.4,5.3014,1.0737,-1.0737
1128.5500000000002,1121.4,1135.7,4.9126,1.094,-1.094
1142.85,1135.7,1150.0,4.6192,0.97551,-0.97551
1157.15,1150.0,1164.3,5.144,1.2623,-1.2623
1171.4499999999998,1164.3,1178.6,4.5508,2.5505,-2.5505
1185.75,1178.6,1192.9,3.9561,0.97452,-0.97452
1200.0,1192.9,1207.1,2.8404,0.56116,-0.56116
